2011-03-07 03:31:17 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\layouts\default.ctp, line 43]
2011-03-07 03:35:29 Debug: Notice (8): Undefined property: PagesController::$Auth in [C:\xampp\htdocs\caketourney\app_controller.php, line 45]
2011-03-07 03:37:08 Debug: Notice (8): Undefined property: PagesController::$Auth in [C:\xampp\htdocs\caketourney\app_controller.php, line 45]
2011-03-07 03:38:50 Debug: Notice (8): Undefined property: PagesController::$User in [C:\xampp\htdocs\caketourney\app_controller.php, line 49]
2011-03-07 03:43:14 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\layouts\default.ctp, line 43]
2011-03-07 03:46:53 Debug: Notice (8): Undefined property: PagesController::$Session in [C:\xampp\htdocs\caketourney\app_controller.php, line 45]
2011-03-07 03:48:03 Debug: Notice (8): Undefined property: PagesController::$Session in [C:\xampp\htdocs\caketourney\app_controller.php, line 45]
2011-03-07 03:48:13 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\layouts\default.ctp, line 43]
2011-03-07 03:48:52 Debug: Notice (8): Undefined property: UsersController::$Session in [C:\xampp\htdocs\caketourney\controllers\users_controller.php, line 15]
2011-03-07 03:49:47 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\users\index.ctp, line 34]
2011-03-07 03:49:47 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\users\index.ctp, line 61]
2011-03-07 03:49:56 Debug: Notice (8): Undefined property: UsersController::$Session in [C:\xampp\htdocs\caketourney\controllers\users_controller.php, line 87]
2011-03-07 04:03:52 Debug: Notice (8): Undefined index: User in [C:\xampp\htdocs\caketourney\views\layouts\default.ctp, line 45]
2011-03-07 04:05:54 Debug: Notice (8): Use of undefined constant Auth - assumed 'Auth' in [C:\xampp\htdocs\caketourney\app_controller.php, line 45]
2011-03-07 04:05:54 Debug: Notice (8): Use of undefined constant User - assumed 'User' in [C:\xampp\htdocs\caketourney\app_controller.php, line 45]
2011-03-07 04:05:54 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\layouts\default.ctp, line 44]
2011-03-07 04:07:02 Debug: Notice (8): Use of undefined constant Auth - assumed 'Auth' in [C:\xampp\htdocs\caketourney\app_controller.php, line 45]
2011-03-07 04:07:02 Debug: Notice (8): Use of undefined constant User - assumed 'User' in [C:\xampp\htdocs\caketourney\app_controller.php, line 45]
2011-03-07 04:07:03 Debug: Notice (8): Use of undefined constant Auth - assumed 'Auth' in [C:\xampp\htdocs\caketourney\views\layouts\default.ctp, line 43]
2011-03-07 04:07:03 Debug: Notice (8): Use of undefined constant User - assumed 'User' in [C:\xampp\htdocs\caketourney\views\layouts\default.ctp, line 43]
2011-03-07 04:07:17 Debug: Notice (8): Use of undefined constant Auth - assumed 'Auth' in [C:\xampp\htdocs\caketourney\app_controller.php, line 45]
2011-03-07 04:07:17 Debug: Notice (8): Use of undefined constant User - assumed 'User' in [C:\xampp\htdocs\caketourney\app_controller.php, line 45]
2011-03-07 04:07:17 Debug: Notice (8): Use of undefined constant Auth - assumed 'Auth' in [C:\xampp\htdocs\caketourney\views\layouts\default.ctp, line 43]
2011-03-07 04:07:17 Debug: Notice (8): Use of undefined constant User - assumed 'User' in [C:\xampp\htdocs\caketourney\views\layouts\default.ctp, line 43]
2011-03-07 04:07:18 Debug: Notice (8): Use of undefined constant Auth - assumed 'Auth' in [C:\xampp\htdocs\caketourney\app_controller.php, line 45]
2011-03-07 04:07:18 Debug: Notice (8): Use of undefined constant User - assumed 'User' in [C:\xampp\htdocs\caketourney\app_controller.php, line 45]
2011-03-07 04:07:18 Debug: Notice (8): Use of undefined constant Auth - assumed 'Auth' in [C:\xampp\htdocs\caketourney\views\layouts\default.ctp, line 43]
2011-03-07 04:07:18 Debug: Notice (8): Use of undefined constant User - assumed 'User' in [C:\xampp\htdocs\caketourney\views\layouts\default.ctp, line 43]
2011-03-07 04:07:35 Debug: Notice (8): Use of undefined constant Auth - assumed 'Auth' in [C:\xampp\htdocs\caketourney\app_controller.php, line 45]
2011-03-07 04:07:35 Debug: Notice (8): Use of undefined constant User - assumed 'User' in [C:\xampp\htdocs\caketourney\app_controller.php, line 45]
2011-03-07 04:07:54 Debug: Notice (8): Use of undefined constant Auth - assumed 'Auth' in [C:\xampp\htdocs\caketourney\app_controller.php, line 45]
2011-03-07 04:07:54 Debug: Notice (8): Use of undefined constant User - assumed 'User' in [C:\xampp\htdocs\caketourney\app_controller.php, line 45]
2011-03-07 04:07:54 Debug: Notice (8): Use of undefined constant Auth - assumed 'Auth' in [C:\xampp\htdocs\caketourney\app_controller.php, line 45]
2011-03-07 04:07:54 Debug: Notice (8): Use of undefined constant User - assumed 'User' in [C:\xampp\htdocs\caketourney\app_controller.php, line 45]
2011-03-07 04:07:59 Debug: Notice (8): Use of undefined constant Auth - assumed 'Auth' in [C:\xampp\htdocs\caketourney\app_controller.php, line 45]
